id,host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
19091,72880,1/23/2010,within an hour,t,1,t,t,Entire rental unit,3,1 bath,1,1,$67.00 ,1,365,2,23,34,177,474,7,4,4.89,4.95,4.88,4.97,4.67,4.91,5.07
79609,428909,3/7/2011,within an hour,t,1,t,t,Entire guest suite,4,1 bath,2,2,$105.00 ,3,90,9,19,36,236,400,41,2,4.95,4.94,4.98,4.98,4.82,4.93,4
89173,486093,4/5/2011,within an hour,t,3,t,t,Entire rental unit,2,1 bath,1,1,$125.00 ,3,30,4,18,45,278,414,16,2,4.94,4.94,4.94,4.95,4.98,4.89,8.77
162525,776684,7/4/2011,within an hour,t,3,t,t,Entire residential home,4,1 bath,2,2,$95.00 ,2,365,4,7,11,181,412,57,4,4.83,4.87,4.63,4.96,4.84,4.87,4
259868,1363780,11/2/2011,within an hour,f,4,t,f,Entire residential home,5,1 bath,2,3,$175.00 ,2,30,17,47,77,253,117,12,2,4.73,4.77,4.77,4.87,4.48,4.56,1.12
345394,1751871,2/14/2012,within an hour,t,2,t,t,Entire residential home,2,1 bath,1,1,$140.00 ,3,1125,12,27,57,68,472,47,2,4.86,4.87,4.85,4.93,4.81,4.75,9.01
405209,323664718,1/2/2020,within an hour,t,34,t,t,Entire rental unit,6,3 baths,3,6,$480.00 ,1,60,7,34,61,150,118,20,0,4.75,4.76,4.75,4.93,4.64,4.64,2.81
474197,99380986,10/12/2016,within an hour,f,6,t,t,Entire rental unit,6,2.5 baths,3,4,$186.00 ,1,365,16,33,63,318,49,13,4,4.84,4.84,4.86,4.65,4.76,4.8,0.46
718256,1340014,10/26/2011,within an hour,t,2,t,t,Entire residential home,6,1 bath,3,3,$53.00 ,2,30,4,11,41,251,311,21,1,4.88,4.91,4.78,4.94,4.79,4.93,3.63
755827,3978674,10/26/2012,within an hour,t,2,t,t,Entire residential home,4,1 bath,2,2,$108.00 ,3,30,3,9,9,9,497,36,4,4.83,4.92,4.72,4.91,4.68,4.81,5.22
812536,4271460,11/28/2012,within an hour,f,2,t,t,Entire condominium (condo),4,1 bath,2,2,$188.00 ,3,1125,21,41,71,71,45,10,1,4.82,4.84,4.96,4.67,4.69,4.67,0.48
812675,4271460,11/28/2012,within an hour,f,2,t,t,Entire condominium (condo),4,1 bath,2,2,$260.00 ,3,1125,0,0,4,4,59,0,0,4.88,4.89,4.98,4.93,4.7,4.66,0.55
904440,4837716,1/24/2013,within an hour,t,1,t,t,Entire residential home,10,2.5 baths,3,4,$406.00 ,2,14,9,39,54,125,66,15,3,4.76,4.73,4.64,4.92,4.61,4.61,0.72
917965,4900663,1/29/2013,within an hour,t,2,t,t,Entire residential home,6,2.5 baths,3,3,$224.00 ,3,30,10,15,35,243,149,30,3,4.88,4.85,4.89,4.92,4.93,4.81,1.94
921154,4951914,2/3/2013,within an hour,t,4,t,f,Entire rental unit,6,2 baths,3,3,$251.00 ,2,1125,9,39,48,247,162,10,1,4.9,4.88,4.9,4.9,4.94,4.89,3.96
938165,4605202,1/6/2013,within an hour,t,5,t,t,Entire residential home,12,4 baths,5,8,$597.00 ,3,30,23,39,69,312,159,2,0,4.67,4.73,4.82,4.9,4.77,4.64,1.55
947400,5134411,2/18/2013,within an hour,t,1,t,t,Entire bungalow,2,1 bath,1,1,$106.00 ,1,1125,6,13,21,211,513,63,7,4.95,4.96,4.93,4.98,4.81,4.88,5.83
1016337,929283,8/6/2011,within an hour,t,1,t,t,Entire rental unit,2,1 bath,1,1,$138.00 ,4,90,6,14,28,87,302,29,1,4.87,4.92,4.79,4.92,4.95,4.84,3.85
1331004,323664718,1/2/2020,within an hour,t,34,t,t,Entire rental unit,6,2 baths,3,6,$345.00 ,1,60,0,3,3,4,116,15,0,4.72,4.57,4.7,4.91,4.73,4.63,1.25
1718222,4844670,1/25/2013,within an hour,t,3,t,t,Entire rental unit,6,1 bath,2,2,$277.00 ,30,1125,0,8,34,39,22,1,0,4.77,4.86,4.91,4.95,4.45,4.41,0.37
1735922,4580360,1/3/2013,within an hour,f,2,t,t,Entire rental unit,8,1.5 baths,2,4,$125.00 ,3,30,18,44,74,151,91,8,4,4.56,4.7,4.37,4.82,4.4,4.62,1.85
